Nº_envolvido,condutor,cod_severidade,sexo,cinto_seguranca,Embreagues,Idade,categoria_habilitacao,especie_veiculo,pedestre,passageiro,turno
2,0,1,2,1,0,18,0,3,0,1,0
3,1,3,1,1,0,34,0,1,0,0,0
1,1,1,1,1,0,23,2,3,0,0,0
2,1,3,1,1,0,26,6,7,0,0,0
1,1,1,1,1,0,51,6,3,0,0,2
1,1,3,2,1,0,62,6,1,0,0,0
2,1,1,1,1,0,25,4,3,0,0,0
1,1,1,1,1,0,41,4,4,0,0,0
1,1,1,1,1,0,35,6,3,0,0,0
2,1,3,1,1,0,36,0,1,0,0,0
1,1,1,1,1,0,27,6,3,0,0,0
2,1,3,2,1,0,43,4,1,0,0,0
1,1,3,1,1,0,52,7,1,0,0,0
2,1,1,1,1,0,34,2,3,0,0,0
1,1,3,1,1,0,33,6,1,0,0,1
2,1,1,1,1,0,22,2,3,0,0,1
2,1,1,1,1,0,25,6,3,0,0,1
1,1,3,1,1,0,63,4,7,0,0,1
2,1,3,1,1,0,67,9,1,0,0,1
3,0,1,2,1,0,56,0,1,0,1,1
1,1,1,1,1,0,42,6,3,0,0,1
2,1,3,2,1,0,54,4,1,0,0,1
1,1,3,1,1,0,44,9,7,0,0,1
1,1,1,1,1,0,34,6,3,0,0,1
2,1,3,1,1,0,54,4,1,0,0,1
1,1,1,1,1,0,51,6,3,0,0,1
2,1,1,1,1,0,41,9,1,0,0,1
2,1,3,1,1,0,40,6,1,0,0,1
1,1,3,2,1,0,56,4,1,0,0,2
2,1,1,1,1,0,23,6,3,0,0,2
1,1,1,2,1,0,24,6,3,0,0,2
2,1,3,2,1,0,41,6,1,0,0,2
1,1,1,1,0,0,21,1,0,0,0,2
2,1,0,1,0,2,0,0,1,2,2,2
1,1,3,1,1,0,43,7,2,0,0,2
2,0,1,1,1,1,44,0,2,0,1,2
1,1,1,1,1,0,34,8,8,0,0,2
1,1,1,2,1,0,40,4,1,0,0,2
1,1,1,2,1,0,27,4,1,0,0,2
2,0,1,2,1,0,54,0,1,0,1,2
1,1,1,1,1,0,23,6,3,0,0,2
1,1,1,1,0,0,21,1,0,0,0,1
2,1,3,1,1,0,67,0,1,0,0,1
2,1,3,1,1,0,69,4,4,0,0,1
1,1,1,1,0,0,23,1,0,0,0,2
2,1,3,1,0,2,0,0,1,2,2,2
1,1,1,1,1,0,65,6,3,0,0,1
2,1,3,2,1,0,36,6,1,0,0,1
1,1,1,1,1,0,29,6,3,0,0,1
3,1,3,1,0,2,0,0,3,2,2,1
1,1,3,2,1,0,46,4,1,0,0,1
2,1,1,2,1,0,54,4,1,0,0,1
3,0,1,2,1,0,74,0,1,0,1,1
1,1,3,1,1,0,23,4,1,0,0,1
2,1,3,2,1,0,32,4,1,0,0,1
3,1,3,1,1,0,37,8,1,0,0,1
4,1,3,1,1,0,29,9,1,0,0,1
5,0,1,1,1,0,51,0,1,0,1,1
1,1,1,1,1,0,50,6,3,0,0,2
2,1,3,1,1,0,34,4,1,0,0,2
1,1,3,1,1,0,45,6,1,0,0,2
2,1,1,1,0,0,51,1,0,0,0,2
1,1,1,2,1,0,47,9,1,0,0,2
2,1,3,1,1,0,63,4,1,0,0,2
3,0,1,2,1,0,59,0,1,0,1,2
1,1,1,1,1,0,22,3,3,0,0,2
1,1,3,1,1,0,44,0,1,0,0,2
2,1,3,1,1,0,35,0,1,0,0,2
3,0,1,2,1,0,33,0,1,0,1,2
1,1,1,1,1,0,31,0,1,0,0,2
4,1,3,1,1,0,29,2,3,0,0,2
1,0,1,2,1,0,24,0,3,0,1,2
1,1,1,1,1,0,31,6,3,0,0,1
1,1,1,1,1,0,25,6,3,0,0,2
3,1,0,0,0,2,0,0,1,2,2,2
1,1,1,1,1,0,20,0,3,0,0,0
2,1,3,1,1,0,24,2,1,0,0,0
3,0,3,2,1,0,25,0,1,0,1,0
4,0,3,1,1,0,47,0,1,0,1,0
5,0,1,1,1,0,36,0,3,0,1,0
1,1,1,1,1,0,22,2,3,0,0,0
1,1,3,1,1,0,39,7,1,0,0,0
2,1,2,1,1,0,32,6,3,0,0,0
4,1,0,0,0,2,0,0,7,2,2,0
1,1,1,1,1,0,24,4,1,0,0,0
2,1,3,2,1,0,33,4,1,0,0,0
1,1,1,1,1,0,19,2,3,0,0,0
1,1,3,1,1,0,36,6,1,0,0,0
2,1,1,1,1,0,50,2,3,0,0,0
2,1,3,1,1,0,38,4,5,0,0,0
1,1,1,1,1,0,21,6,3,0,0,0
2,1,3,1,1,0,54,7,1,0,0,0
3,0,1,1,1,0,34,0,3,0,1,0
1,1,1,1,1,0,21,6,1,0,0,0
1,1,1,1,1,0,46,6,3,0,0,0
2,1,3,2,1,0,38,4,1,0,0,0
1,1,3,1,1,0,54,9,7,0,0,0
2,1,1,1,1,0,24,0,10,0,0,0
1,1,3,1,1,0,56,9,1,0,0,1
2,0,1,1,0,1,62,0,6,1,2,1
1,1,1,1,1,0,39,7,3,0,0,1
2,1,1,1,1,0,50,0,3,0,0,1
1,1,3,1,1,0,20,4,1,0,0,1
2,0,1,1,0,0,51,0,6,1,0,1
1,1,3,1,1,0,23,6,3,0,0,1
2,0,1,1,1,0,26,0,3,0,1,1
1,1,3,2,1,0,47,4,1,0,0,1
2,1,1,1,1,0,47,6,3,0,0,1
3,1,3,1,1,0,72,4,1,0,0,1
4,0,1,2,1,0,10,0,3,0,1,1
1,1,1,1,1,0,27,6,3,0,0,1
1,1,1,1,1,0,65,7,1,0,0,1
2,1,3,1,1,0,37,6,1,0,0,1
1,1,1,2,1,0,22,4,3,0,0,1
2,1,3,1,1,0,39,3,1,0,0,1
1,0,1,2,0,0,40,0,6,1,0,1
1,1,3,1,1,0,37,9,2,0,0,1
2,0,1,2,1,0,20,0,2,0,1,1
3,1,1,1,1,0,24,0,3,0,0,1
1,1,1,1,1,0,20,3,3,0,0,1
4,1,0,0,0,2,0,0,1,2,2,1
1,1,1,1,1,0,35,6,3,0,0,2
2,1,0,1,0,2,0,0,3,2,2,2
1,1,1,2,1,0,22,6,3,0,0,0
2,1,3,1,1,0,45,4,4,0,0,0
1,1,1,1,1,0,26,3,3,0,0,1
2,1,3,1,1,0,33,6,1,0,0,1
1,1,1,1,1,0,30,4,3,0,0,1
2,1,3,1,1,0,77,6,1,0,0,1
1,1,1,1,1,0,32,6,3,0,0,1
2,1,3,1,1,0,22,6,1,0,0,1
1,1,1,1,1,0,20,0,3,0,0,1
2,1,3,2,1,0,44,3,1,0,0,1
1,1,3,2,1,0,62,4,1,0,0,1
2,1,1,2,1,0,51,4,1,0,0,1
3,1,3,2,1,0,28,0,1,0,0,1
1,1,1,1,1,0,21,0,3,0,0,1
2,1,3,1,1,0,41,3,1,0,0,1
3,1,0,0,0,2,0,10,1,2,2,1
